pnl_pct,entry_date,exit_date,symbol,reason,regime
-0.0383,2018-04-18,2018-04-25,000807,stop_loss,BEAR
0.0365,2018-05-31,2018-06-08,000807,time_stop,CHOPPY_BEAR
-0.0147,2019-01-08,2019-01-10,000807,stop_loss,BEAR
0.0667,2019-01-14,2019-01-22,000807,time_stop,BEAR
0.0341,2019-02-01,2019-02-11,000807,time_stop,BULL
0.0161,2019-04-02,2019-04-10,000807,time_stop,BULL
-0.0126,2019-09-24,2019-09-26,000807,stop_loss,BULL
-0.0044,2019-09-27,2019-10-08,000807,time_stop,BULL
-0.0086,2019-11-06,2019-11-11,000807,stop_loss,BULL
-0.0277,2019-11-26,2019-11-27,000807,stop_loss,BEAR
-0.0150,2020-04-16,2020-04-24,000807,stop_loss,BEAR
0.0280,2020-06-17,2020-06-29,000807,time_stop,BULL
0.0167,2020-08-12,2020-08-20,000807,time_stop,BULL
-0.0133,2020-09-21,2020-09-22,000807,stop_loss,BEAR
0.1210,2021-01-14,2021-01-22,000807,time_stop,BULL
0.0380,2021-08-12,2021-08-20,000807,time_stop,BEAR
-0.0110,2021-10-11,2021-10-12,000807,stop_loss,SIDEWAYS
0.0123,2021-10-13,2021-10-21,000807,time_stop,BEAR
-0.0288,2021-11-25,2021-11-26,000807,stop_loss,BEAR
0.1018,2018-05-03,2018-05-11,000858,time_stop,SIDEWAYS
0.0229,2018-10-31,2018-11-01,000858,crash_clear,BEAR
-0.0184,2019-12-18,2019-12-26,000858,time_stop,BEAR
-0.0640,2021-07-27,2021-07-28,000858,stop_loss,BEAR
0.0005,2021-08-23,2021-08-31,000858,stop_loss,BEAR
0.0803,2021-11-17,2021-11-25,000858,time_stop,BEAR
0.0489,2018-11-29,2018-12-07,000876,time_stop,BULL
0.0199,2019-08-29,2019-09-06,000876,stop_loss,BEAR
0.1072,2019-09-27,2019-10-08,000876,time_stop,BULL
0.1584,2019-10-22,2019-10-30,000876,time_stop,BEAR
-0.0290,2020-09-16,2020-09-17,000876,stop_loss,BEAR
-0.0113,2020-09-18,2020-09-24,000876,stop_loss,BEAR
0.0031,2020-12-17,2020-12-22,000876,stop_loss,BULL
0.0132,2021-04-16,2021-04-26,000876,time_stop,BULL
0.0553,2021-06-16,2021-06-24,000876,time_stop,BULL
-0.0212,2021-07-22,2021-07-26,000876,stop_loss,BEAR
